Show_ID,Type,Title,Country,Release_Year,Genre,IMDb_Rating,Duration,Rating Category
NF00038,TV Show,38,UK,1990,Thriller,9.7,1 Seasons,Excellent
NF00039,Movie,39,Japan,2012,Sci-Fi,6.9,91 min,Good
NF00040,Movie,40,UK,1982,Action,6.3,147 min,Average
NF00041,Movie,41,UK,2019,Sci-Fi,8,122 min,Excellent
NF00042,Movie,42,UK,2026,Sci-Fi,9.3,106 min,Excellent
NF00043,Movie,43,India,2008,Romance,9.7,150 min,Excellent
NF00044,Movie,44,Japan,1995,Thriller,9.1,71 min,Excellent
NF00045,TV Show,45,UK,2023,Drama,9.7,5 Seasons,Excellent
NF00046,TV Show,46,USA,2010,Romance,8.4,9 Seasons,Excellent
NF00047,TV Show,47,Japan,1990,Sci-Fi,9.1,9 Seasons,Excellent
NF00048,Movie,48,UK,2023,Thriller,8.7,76 min,Excellent
NF00049,TV Show,49,Canada,2001,Comedy,9.8,1 Seasons,Excellent
NF00050,TV Show,50,Canada,1982,Sci-Fi,8.3,5 Seasons,Excellent
NF00051,TV Show,51,South Korea,1993,Comedy,6.5,1 Seasons,Good
NF00052,Movie,52,Japan,1994,Comedy,5.1,165 min,Average
NF00053,Movie,53,South Korea,1998,Action,9.5,137 min,Excellent
NF00054,Movie,54,Japan,2023,Comedy,6.9,95 min,Good
NF00055,Movie,55,Canada,2003,Drama,5.6,102 min,Average
NF00056,TV Show,56,UK,2023,Sci-Fi,9.5,3 Seasons,Excellent
NF00057,Movie,57,Japan,2017,Sci-Fi,8,61 min,Excellent
NF00058,Movie,58,USA,1990,Thriller,6.8,169 min,Good
NF00059,Movie,59,India,2005,Sci-Fi,6.3,134 min,Average
NF00060,TV Show,60,Canada,2018,Thriller,7.9,2 Seasons,Average
NF00061,TV Show,61,India,2015,Drama,7.3,7 Seasons,Good
NF00062,Movie,62,Canada,1994,Action,5.3,100 min,Good
NF00063,TV Show,63,Canada,2013,Drama,5.9,2 Seasons,Average
NF00064,TV Show,64,South Korea,1998,Romance,6.8,5 Seasons,Average
NF00065,Movie,65,UK,1981,Comedy,9.4,133 min,Excellent
NF00066,TV Show,66,USA,2000,Comedy,9,1 Seasons,Excellent
NF00067,Movie,67,Japan,2013,Sci-Fi,6.3,79 min,Good
NF00068,Movie,68,Japan,2001,Comedy,5.7,95 min,Average
NF00069,Movie,69,India,1985,Action,9.7,80 min,Excellent
NF00070,TV Show,70,India,2009,Drama,6.6,2 Seasons,Good
NF00071,Movie,71,Japan,2002,Sci-Fi,8.9,107 min,Excellent
NF00072,TV Show,72,Canada,2019,Thriller,5.5,5 Seasons,Good
NF00073,Movie,73,Japan,2014,Sci-Fi,7.6,158 min,Average
NF00074,TV Show,74,Japan,1993,Comedy,8.1,10 Seasons,Excellent
NF00075,TV Show,75,India,2019,Sci-Fi,7,7 Seasons,Good
NF00076,TV Show,76,India,2000,Sci-Fi,6.2,5 Seasons,Good
NF00077,Movie,77,UK,1998,Sci-Fi,9.5,106 min,Excellent
NF00078,TV Show,78,Canada,1983,Thriller,6.8,6 Seasons,Good
NF00079,Movie,79,Canada,2010,Thriller,8.4,65 min,Excellent
NF00080,Movie,80,Canada,2004,Thriller,8.9,67 min,Excellent
NF00081,TV Show,81,Canada,2005,Comedy,5.3,2 Seasons,Good
NF00082,Movie,82,USA,2023,Comedy,7.2,80 min,Average
NF00083,Movie,83,UK,2001,Romance,7.8,133 min,Good
NF00084,Movie,84,Japan,1998,Drama,9.1,77 min,Excellent
NF00085,Movie,85,UK,2007,Sci-Fi,6.8,154 min,Good
NF00086,Movie,86,India,1997,Sci-Fi,7.3,110 min,Average
NF00087,Movie,87,India,1998,Drama,6.6,163 min,Good
NF00088,TV Show,88,USA,1993,Comedy,5.5,5 Seasons,Average
NF00089,Movie,89,Canada,1999,Romance,5.9,106 min,Average
NF00090,TV Show,90,USA,2019,Thriller,6.3,10 Seasons,Average
NF00091,TV Show,91,USA,2000,Comedy,9,6 Seasons,Excellent
NF00092,Movie,92,USA,2023,Comedy,6.2,160 min,Good
NF00093,TV Show,93,Japan,2000,Action,5.5,6 Seasons,Average
NF00094,TV Show,94,India,2020,Comedy,9.8,2 Seasons,Excellent
NF00095,Movie,95,South Korea,2001,Action,7,61 min,Good
NF00096,TV Show,96,Canada,2025,Action,9.1,1 Seasons,Excellent
NF00097,Movie,97,Japan,2022,Thriller,7.1,80 min,Good
NF00098,Movie,98,UK,2012,Drama,9,144 min,Excellent
NF00099,TV Show,99,UK,2020,Action,8.5,6 Seasons,Excellent
NF00100,TV Show,100,Japan,1980,Thriller,9.8,3 Seasons,Excellent
NF00101,TV Show,101,India,2022,Romance,8,5 Seasons,Excellent
NF00102,Movie,102,UK,2003,Action,7,113 min,Good
NF00103,TV Show,103,India,2008,Romance,6.1,6 Seasons,Good
NF00104,Movie,104,South Korea,1982,Action,8.1,160 min,Excellent
NF00105,TV Show,105,Canada,2020,Action,8.3,10 Seasons,Excellent
NF00106,Movie,106,UK,1988,Drama,7.8,124 min,Good
NF00107,TV Show,107,India,2007,Sci-Fi,9.4,4 Seasons,Excellent
NF00108,TV Show,108,Japan,2025,Comedy,5.4,5 Seasons,Good
NF00109,TV Show,109,India,1990,Romance,9.7,1 Seasons,Excellent
NF00110,Movie,110,India,2021,Romance,6.1,125 min,Good
NF00111,Movie,111,UK,1980,Action,6.1,161 min,Average
NF00112,Movie,112,Canada,1991,Action,8,85 min,Excellent
NF00113,Movie,113,Japan,1989,Drama,7.3,134 min,Good
NF00114,Movie,114,UK,2025,Sci-Fi,8.5,123 min,Excellent
NF00115,Movie,115,India,1988,Comedy,5.6,60 min,Good
NF00116,Movie,116,Japan,1983,Sci-Fi,8.4,69 min,Excellent
NF00117,TV Show,117,Japan,2000,Romance,6.6,3 Seasons,Good
NF00118,Movie,118,India,1995,Thriller,8.4,132 min,Excellent
NF00119,TV Show,119,South Korea,2012,Sci-Fi,5.4,5 Seasons,Good
NF00120,Movie,120,India,2013,Drama,7.7,143 min,Average
NF00121,Movie,121,South Korea,1983,Drama,7,115 min,Good
NF00122,Movie,122,UK,1982,Sci-Fi,7.9,73 min,Good
NF00123,Movie,123,USA,2007,Comedy,5.8,75 min,Good
NF00124,TV Show,124,South Korea,2001,Thriller,7.7,4 Seasons,Average
NF00125,TV Show,125,USA,1985,Sci-Fi,8.9,6 Seasons,Excellent
NF00126,TV Show,126,South Korea,2000,Sci-Fi,6.5,8 Seasons,Good
NF00127,TV Show,127,South Korea,2010,Drama,5.7,5 Seasons,Average
NF00128,Movie,128,USA,1993,Comedy,9.8,72 min,Excellent
NF00129,TV Show,129,India,2010,Thriller,9.6,6 Seasons,Excellent
NF00130,Movie,130,India,2012,Action,7.1,153 min,Good
NF00131,Movie,131,South Korea,1985,Action,6.8,110 min,Good
NF00132,TV Show,132,UK,2026,Action,7.9,8 Seasons,Average
NF00133,TV Show,133,India,2011,Thriller,8.6,10 Seasons,Excellent
NF00134,TV Show,134,Japan,2012,Action,7.6,2 Seasons,Good
NF00135,TV Show,135,USA,2006,Action,9.1,8 Seasons,Excellent
NF00136,Movie,136,UK,1996,Drama,8.2,137 min,Excellent
NF00137,TV Show,137,UK,1988,Thriller,9.5,6 Seasons,Excellent
NF00138,TV Show,138,Japan,2026,Comedy,8.3,1 Seasons,Excellent
NF00139,Movie,139,Canada,1997,Comedy,5.6,95 min,Good
NF00140,Movie,140,USA,2024,Romance,9.5,92 min,Excellent
NF00141,TV Show,141,South Korea,2024,Drama,8.5,10 Seasons,Excellent
NF00142,Movie,142,UK,2007,Action,5.1,106 min,Good
NF00143,TV Show,143,Canada,1985,Thriller,9.3,5 Seasons,Excellent
NF00144,Movie,144,USA,1987,Action,8.5,149 min,Excellent
NF00145,TV Show,145,South Korea,2016,Action,7.5,4 Seasons,Good
NF00146,TV Show,146,Japan,2010,Romance,7.6,3 Seasons,Good
NF00147,Movie,147,UK,2019,Sci-Fi,8.3,82 min,Excellent
NF00148,Movie,148,USA,1999,Thriller,8.9,120 min,Excellent
NF00149,Movie,149,Canada,2003,Drama,5.5,104 min,Good
NF00150,Movie,150,UK,2006,Thriller,6.2,99 min,Average
NF00151,TV Show,151,Japan,2015,Drama,5.1,2 Seasons,Average
NF00152,TV Show,152,India,2026,Drama,7.1,8 Seasons,Average
NF00153,Movie,153,Canada,1987,Thriller,9.8,128 min,Excellent
NF00154,TV Show,154,Japan,1995,Thriller,6.4,6 Seasons,Good
NF00155,TV Show,155,South Korea,2018,Thriller,5.2,9 Seasons,Average
NF00156,TV Show,156,Japan,1990,Drama,9.7,4 Seasons,Excellent
NF00157,TV Show,157,Canada,2016,Thriller,7.1,3 Seasons,Good
NF00158,Movie,158,UK,1997,Romance,5.2,167 min,Good
NF00159,Movie,159,UK,1983,Action,5.1,120 min,Average
NF00160,Movie,160,South Korea,2017,Romance,8.9,178 min,Excellent
NF00161,Movie,161,Canada,1993,Thriller,9.8,124 min,Excellent
NF00162,Movie,162,Canada,1983,Action,9.7,88 min,Excellent
NF00163,TV Show,163,Canada,1989,Romance,8.6,5 Seasons,Excellent
NF00164,TV Show,164,UK,2011,Drama,7,10 Seasons,Good
NF00165,Movie,165,South Korea,2017,Action,6.6,100 min,Good
NF00166,Movie,166,India,2013,Comedy,8.9,104 min,Excellent
NF00167,TV Show,167,USA,1987,Thriller,8.5,5 Seasons,Excellent
NF00168,Movie,168,India,2017,Action,8.5,140 min,Excellent
NF00169,TV Show,169,South Korea,1985,Thriller,5.2,1 Seasons,Good
NF00170,TV Show,170,India,1996,Action,9.3,6 Seasons,Excellent
NF00171,TV Show,171,Japan,1980,Comedy,8.2,9 Seasons,Excellent
NF00172,TV Show,172,South Korea,1984,Drama,8.6,3 Seasons,Excellent
NF00173,TV Show,173,USA,2001,Drama,9.7,4 Seasons,Excellent
NF00174,Movie,174,South Korea,1995,Comedy,9.6,92 min,Excellent
NF00175,TV Show,175,South Korea,2001,Sci-Fi,7.2,10 Seasons,Good
NF00176,Movie,176,Canada,1983,Romance,8.7,151 min,Excellent
NF00177,Movie,177,Canada,2009,Action,9.8,180 min,Excellent
NF00178,TV Show,178,UK,2017,Romance,5.5,4 Seasons,Good
NF00179,Movie,179,Canada,1994,Action,9.7,150 min,Excellent
NF00180,Movie,180,South Korea,1982,Sci-Fi,7.9,110 min,Good
NF00181,TV Show,181,UK,2008,Sci-Fi,5.9,6 Seasons,Good
NF00182,Movie,182,UK,1998,Romance,9.2,161 min,Excellent
NF00183,Movie,183,South Korea,1998,Comedy,8.7,157 min,Excellent
NF00184,TV Show,184,India,2012,Comedy,7.5,9 Seasons,Good
NF00185,TV Show,185,USA,2005,Sci-Fi,6.4,6 Seasons,Good
NF00186,Movie,186,Canada,1983,Romance,5.6,115 min,Average
NF00187,Movie,187,USA,2003,Sci-Fi,8.6,126 min,Excellent
NF00188,TV Show,188,Canada,2000,Comedy,9.7,4 Seasons,Excellent
NF00189,TV Show,189,UK,2026,Thriller,6.9,10 Seasons,Good
NF00190,TV Show,190,India,1984,Thriller,8.5,5 Seasons,Excellent
NF00191,TV Show,191,Japan,2023,Romance,8.4,10 Seasons,Excellent
NF00192,TV Show,192,USA,1996,Drama,5.1,10 Seasons,Good
NF00193,TV Show,193,USA,1993,Drama,5.2,1 Seasons,Average
NF00194,Movie,194,South Korea,2019,Action,6.1,100 min,Average
NF00195,TV Show,195,UK,2022,Thriller,8.5,2 Seasons,Excellent
NF00196,TV Show,196,South Korea,2011,Romance,7.1,7 Seasons,Good
NF00197,Movie,197,USA,1988,Comedy,7,87 min,Good
NF00198,TV Show,198,Japan,2021,Comedy,9.2,10 Seasons,Excellent
NF00199,TV Show,199,USA,1986,Comedy,9.6,7 Seasons,Excellent
NF00200,Movie,200,USA,1997,Action,7.3,99 min,Good
NF00201,TV Show,201,South Korea,2011,Action,7.5,6 Seasons,Good
NF00202,TV Show,202,Japan,1984,Action,7.6,7 Seasons,Good
NF00203,TV Show,203,South Korea,1989,Sci-Fi,9.7,2 Seasons,Excellent
NF00204,Movie,204,UK,1985,Sci-Fi,7.3,142 min,Good
NF00205,Movie,205,Japan,1991,Drama,5.2,85 min,Good
NF00206,TV Show,206,India,1993,Action,9.8,1 Seasons,Excellent
NF00207,Movie,207,UK,2021,Drama,8.3,141 min,Excellent
NF00208,Movie,208,South Korea,1990,Romance,9.8,100 min,Excellent
NF00209,Movie,209,USA,2003,Romance,7.4,110 min,Good
NF00210,TV Show,210,UK,2015,Drama,6.4,3 Seasons,Good
NF00211,TV Show,211,USA,2010,Sci-Fi,7.7,7 Seasons,Average
NF00212,Movie,212,India,1980,Drama,7,61 min,Good
NF00213,Movie,213,USA,2008,Comedy,9.1,151 min,Excellent
NF00214,TV Show,214,UK,2004,Action,5.5,4 Seasons,Good
NF00215,TV Show,215,India,1999,Sci-Fi,7.8,7 Seasons,Average
NF00216,TV Show,216,South Korea,2022,Comedy,6.3,7 Seasons,Good
NF00217,TV Show,217,India,1992,Romance,5.6,8 Seasons,Average
NF00218,TV Show,218,Canada,2008,Sci-Fi,5.4,8 Seasons,Average
NF00219,TV Show,219,USA,2006,Comedy,7.3,3 Seasons,Average
NF00220,TV Show,220,USA,1988,Comedy,8,7 Seasons,Excellent
NF00221,TV Show,221,USA,2005,Sci-Fi,9,10 Seasons,Excellent
NF00222,TV Show,222,UK,1982,Romance,7.1,6 Seasons,Good
NF00223,Movie,223,UK,1990,Romance,8.4,141 min,Excellent
NF00224,TV Show,224,USA,1994,Sci-Fi,6.3,9 Seasons,Good
NF00225,TV Show,225,Japan,1990,Sci-Fi,7.8,2 Seasons,Average
NF00226,TV Show,226,India,2026,Romance,5.2,4 Seasons,Good
NF00227,TV Show,227,India,1987,Action,6.1,7 Seasons,Average
NF00228,TV Show,228,UK,1982,Thriller,7.7,4 Seasons,Average
NF00229,TV Show,229,UK,2012,Drama,6.5,10 Seasons,Good
NF00230,Movie,230,UK,1988,Thriller,5.1,104 min,Average
NF00231,TV Show,231,South Korea,2015,Action,6.8,7 Seasons,Average
NF00232,Movie,232,USA,2013,Action,9.8,81 min,Excellent
NF00233,Movie,233,South Korea,2017,Thriller,7.7,166 min,Good
NF00234,Movie,234,India,2004,Thriller,8.2,174 min,Excellent
NF00235,Movie,235,South Korea,2013,Thriller,9.8,113 min,Excellent
NF00236,TV Show,236,India,1985,Romance,9.3,9 Seasons,Excellent
NF00237,Movie,237,USA,2009,Romance,7.1,73 min,Good
NF00238,TV Show,238,India,2026,Drama,8.5,8 Seasons,Excellent
NF00239,Movie,239,Japan,2015,Drama,9.5,173 min,Excellent
NF00240,TV Show,240,Canada,2001,Action,9.1,1 Seasons,Excellent
NF00241,TV Show,241,UK,2023,Drama,7.5,8 Seasons,Good
NF00242,TV Show,242,Canada,1995,Action,7.9,3 Seasons,Good
NF00243,Movie,243,USA,2021,Romance,7.5,167 min,Good
NF00244,Movie,244,India,1992,Drama,6.9,115 min,Good
NF00245,Movie,245,South Korea,2020,Thriller,5.4,69 min,Average
NF00246,TV Show,246,Japan,2000,Comedy,8.5,1 Seasons,Excellent
NF00247,TV Show,247,USA,2024,Action,6.1,2 Seasons,Good
NF00248,Movie,248,Japan,2007,Drama,6.5,79 min,Average
NF00249,Movie,249,UK,2006,Action,5.1,169 min,Average
NF00250,TV Show,250,Canada,1982,Drama,5.9,6 Seasons,Average
NF00251,TV Show,251,India,1985,Action,7.5,4 Seasons,Average
NF00252,Movie,252,South Korea,1986,Comedy,9.2,69 min,Excellent
NF00253,Movie,253,South Korea,1995,Sci-Fi,5.4,97 min,Good
NF00254,Movie,254,India,2004,Sci-Fi,5.4,96 min,Average
NF00255,TV Show,255,Canada,2023,Drama,9.4,7 Seasons,Excellent
NF00256,Movie,256,USA,2020,Sci-Fi,6.1,172 min,Good
NF00257,TV Show,257,South Korea,2017,Thriller,6.4,10 Seasons,Average
NF00258,Movie,258,South Korea,2001,Thriller,8.4,127 min,Excellent
NF00259,Movie,259,USA,2006,Comedy,6.1,69 min,Good
NF00260,Movie,260,India,2002,Comedy,5.6,145 min,Average
NF00261,TV Show,261,South Korea,1983,Romance,8,2 Seasons,Excellent
NF00262,TV Show,262,USA,2025,Action,8.6,6 Seasons,Excellent
NF00263,TV Show,263,USA,2013,Sci-Fi,5,9 Seasons,Good
NF00264,TV Show,264,USA,1996,Action,6.6,10 Seasons,Average
NF00265,TV Show,265,Japan,1988,Action,5.9,4 Seasons,Average
NF00266,Movie,266,South Korea,2003,Drama,7.9,151 min,Average
NF00267,TV Show,267,Canada,2021,Thriller,7.4,6 Seasons,Good
NF00268,Movie,268,Japan,2004,Drama,6.4,115 min,Good
NF00269,TV Show,269,Canada,2026,Sci-Fi,9.6,6 Seasons,Excellent
NF00270,Movie,270,USA,1992,Action,6.6,98 min,Good
NF00271,Movie,271,USA,1999,Sci-Fi,9.8,133 min,Excellent
NF00272,TV Show,272,USA,1987,Romance,8.1,8 Seasons,Excellent
NF00273,TV Show,273,Japan,2021,Thriller,8.2,5 Seasons,Excellent
NF00274,TV Show,274,Canada,2008,Thriller,9.3,10 Seasons,Excellent
NF00275,TV Show,275,Japan,2017,Thriller,5,6 Seasons,Good
NF00276,Movie,276,UK,2019,Action,5.9,111 min,Average
NF00277,TV Show,277,UK,1992,Comedy,8.2,8 Seasons,Excellent
NF00278,TV Show,278,Canada,1999,Sci-Fi,7.3,7 Seasons,Good
NF00279,Movie,279,India,2022,Action,6.4,98 min,Good
NF00280,TV Show,280,Canada,1992,Comedy,6.3,2 Seasons,Average
NF00281,Movie,281,India,1996,Sci-Fi,7.5,124 min,Average
NF00282,TV Show,282,Japan,2013,Drama,5.2,6 Seasons,Good
NF00283,TV Show,283,India,1980,Romance,8.6,8 Seasons,Excellent
NF00284,TV Show,284,South Korea,2003,Comedy,7.1,6 Seasons,Good
NF00285,TV Show,285,South Korea,1990,Sci-Fi,9.4,4 Seasons,Excellent
NF00286,TV Show,286,India,2009,Drama,6.7,10 Seasons,Good
NF00287,TV Show,287,USA,2006,Drama,5.3,10 Seasons,Average
NF00288,TV Show,288,Japan,1988,Sci-Fi,6.7,1 Seasons,Average
NF00289,TV Show,289,India,1981,Drama,7.9,5 Seasons,Average
NF00290,Movie,290,South Korea,1998,Drama,5.1,162 min,Good
NF00291,TV Show,291,USA,2026,Thriller,6.1,10 Seasons,Average
NF00292,Movie,292,USA,2006,Action,9.4,140 min,Excellent
NF00293,Movie,293,Japan,2000,Drama,7.6,145 min,Good
NF00294,TV Show,294,UK,1996,Drama,8.4,4 Seasons,Excellent
NF00295,TV Show,295,Japan,2003,Romance,6,8 Seasons,Good
NF00296,Movie,296,South Korea,1984,Romance,7.9,158 min,Average
NF00297,Movie,297,USA,2016,Romance,7.8,147 min,Good
NF00298,TV Show,298,Canada,2004,Sci-Fi,7.4,7 Seasons,Good
NF00299,TV Show,299,UK,2009,Drama,8.6,7 Seasons,Excellent
NF00300,Movie,300,South Korea,1993,Sci-Fi,6.3,69 min,Good
NF00301,TV Show,301,South Korea,2025,Comedy,8.8,4 Seasons,Excellent
NF00302,Movie,302,South Korea,2022,Action,9.7,169 min,Excellent
NF00303,TV Show,303,Japan,1993,Thriller,6.7,10 Seasons,Good
NF00304,Movie,304,Japan,1989,Action,7.6,162 min,Average
NF00305,TV Show,305,South Korea,2004,Romance,7,7 Seasons,Good
NF00306,Movie,306,Canada,2002,Romance,5.7,154 min,Good
NF00307,TV Show,307,India,1992,Romance,5.4,6 Seasons,Average
NF00308,TV Show,308,Japan,2001,Drama,5.8,4 Seasons,Average
NF00309,Movie,309,USA,2011,Drama,9.2,89 min,Excellent
NF00310,TV Show,310,Japan,2015,Sci-Fi,8.7,10 Seasons,Excellent
NF00311,Movie,311,India,2018,Sci-Fi,7.3,139 min,Good
NF00312,TV Show,312,USA,2022,Action,8,9 Seasons,Excellent
NF00313,Movie,313,UK,1999,Action,8.2,61 min,Excellent
NF00314,TV Show,314,India,2017,Comedy,8.4,3 Seasons,Excellent
NF00315,TV Show,315,South Korea,1981,Drama,8.2,8 Seasons,Excellent
NF00316,TV Show,316,India,2019,Thriller,8.8,8 Seasons,Excellent
NF00317,Movie,317,India,1995,Comedy,8.9,168 min,Excellent
NF00318,TV Show,318,South Korea,2024,Thriller,8.6,9 Seasons,Excellent
NF00319,TV Show,319,South Korea,2016,Drama,7.5,6 Seasons,Good
NF00320,Movie,320,Japan,2024,Action,7.7,122 min,Good
NF00321,TV Show,321,Canada,2014,Thriller,7.2,10 Seasons,Good
NF00322,TV Show,322,UK,1981,Drama,7.4,9 Seasons,Good
NF00323,TV Show,323,UK,2004,Action,5.9,6 Seasons,Good
NF00324,Movie,324,Japan,2008,Thriller,9.4,159 min,Excellent
NF00325,TV Show,325,UK,2024,Comedy,8,3 Seasons,Excellent
NF00326,Movie,326,India,2023,Drama,8.8,71 min,Excellent
NF00327,TV Show,327,UK,2020,Thriller,5.8,5 Seasons,Good
NF00328,Movie,328,UK,2003,Action,7,79 min,Average
NF00329,Movie,329,UK,2005,Sci-Fi,7.3,174 min,Good
NF00330,Movie,330,USA,1994,Comedy,8,143 min,Excellent
NF00331,TV Show,331,India,2019,Sci-Fi,7.3,9 Seasons,Good
NF00332,TV Show,332,South Korea,1991,Action,7.6,1 Seasons,Good
NF00333,Movie,333,UK,2016,Action,7.1,167 min,Good
NF00334,TV Show,334,USA,1998,Sci-Fi,6.5,9 Seasons,Good
NF00335,Movie,335,Canada,2007,Comedy,9,87 min,Excellent
NF00336,Movie,336,Japan,2019,Comedy,6.5,126 min,Good
NF00337,Movie,337,India,2020,Thriller,8.6,164 min,Excellent
NF00338,TV Show,338,UK,2017,Action,7.5,1 Seasons,Good
NF00339,Movie,339,India,1988,Comedy,5.2,80 min,Good
NF00340,TV Show,340,India,2010,Thriller,9.5,10 Seasons,Excellent
NF00341,Movie,341,India,1986,Action,9,126 min,Excellent
NF00342,TV Show,342,India,1980,Comedy,7.9,2 Seasons,Good
NF00343,Movie,343,UK,2024,Romance,5.6,121 min,Good
NF00344,Movie,344,India,1994,Drama,9.7,157 min,Excellent
NF00345,Movie,345,UK,2016,Sci-Fi,6.7,99 min,Good
NF00346,Movie,346,South Korea,2003,Comedy,5.7,140 min,Average
NF00347,Movie,347,India,2019,Romance,7.1,150 min,Average
NF00348,Movie,348,Canada,2006,Action,6.4,174 min,Good
NF00349,Movie,349,Japan,1986,Comedy,5.6,173 min,Average
NF00350,TV Show,350,Canada,1994,Sci-Fi,6.8,9 Seasons,Average
NF00351,Movie,351,UK,2022,Comedy,6.7,154 min,Average
NF00352,TV Show,352,Japan,2016,Thriller,6.7,9 Seasons,Average
NF00353,Movie,353,Japan,1987,Thriller,9.4,93 min,Excellent
NF00354,TV Show,354,UK,2015,Comedy,9.4,3 Seasons,Excellent
NF00355,TV Show,355,South Korea,2022,Drama,6.3,1 Seasons,Good
NF00356,Movie,356,Canada,1980,Comedy,7.4,109 min,Average
NF00357,TV Show,357,Canada,2017,Thriller,8.6,10 Seasons,Excellent
NF00358,Movie,358,USA,2023,Thriller,6.7,155 min,Good
NF00359,Movie,359,India,1992,Thriller,7.9,104 min,Average
NF00360,Movie,360,India,2010,Drama,7.7,78 min,Good
NF00361,TV Show,361,USA,1984,Comedy,8,2 Seasons,Excellent
NF00362,TV Show,362,UK,2024,Comedy,8.1,7 Seasons,Excellent
NF00363,Movie,363,UK,2021,Sci-Fi,5.4,141 min,Good
NF00364,Movie,364,Canada,1983,Romance,8.9,76 min,Excellent
NF00365,Movie,365,UK,2000,Thriller,5.5,76 min,Good
NF00366,TV Show,366,South Korea,1987,Action,7.4,3 Seasons,Average
NF00367,Movie,367,Canada,2010,Drama,8.9,60 min,Excellent
NF00368,Movie,368,Canada,2009,Thriller,5.5,115 min,Good
NF00369,Movie,369,South Korea,2002,Action,5.9,135 min,Average
NF00370,TV Show,370,India,1992,Action,7.8,8 Seasons,Average
NF00371,Movie,371,USA,2011,Drama,7.5,102 min,Good
NF00372,TV Show,372,Japan,1988,Romance,6.5,4 Seasons,Good
NF00373,TV Show,373,USA,1985,Action,7.3,9 Seasons,Average
NF00374,TV Show,374,Canada,1995,Action,8.8,7 Seasons,Excellent
NF00375,Movie,375,India,1997,Romance,9,63 min,Excellent
NF00376,Movie,376,India,2017,Romance,7.8,159 min,Good
NF00377,Movie,377,Canada,2010,Comedy,5.4,153 min,Good
NF00378,Movie,378,USA,2013,Sci-Fi,9.3,130 min,Excellent
NF00379,TV Show,379,Japan,1983,Sci-Fi,8.2,4 Seasons,Excellent
NF00380,TV Show,380,South Korea,2010,Romance,8.7,2 Seasons,Excellent
NF00381,TV Show,381,South Korea,1991,Sci-Fi,5.9,5 Seasons,Good
NF00382,Movie,382,UK,2015,Thriller,8,63 min,Excellent
NF00383,Movie,383,Canada,1993,Drama,6.2,107 min,Good
NF00384,Movie,384,Canada,1980,Drama,9.8,67 min,Excellent
NF00385,Movie,385,Canada,2005,Action,8.2,165 min,Excellent
NF00386,Movie,386,UK,2025,Sci-Fi,5.8,114 min,Good
